Bflat Blues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A#7,D#7,A#7,A#7,D#7,Edim7,A#7,Bdim7,Cmin7,F7,A#7,Bdim7,Cmin7,F7,,,,,,,,,,,,,,,,,,
x-x-6-7-6-6,x-x-5-6-4-6,x-x-6-7-6-6,x-x-6-7-6-6,x-x-5-6-4-6,x-x-5-6-5-6,x-x-6-7-6-6,x-x-6-7-6-7,x-x-8-8-8-8,x-x-7-8-6-8,x-x-6-7-6-6,x-x-6-7-6-7,x-x-8-8-8-8,x-x-7-8-6-8,,,,,,,,,,,,,,,,,,
Bflat Blues 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A#7,D#7,A#7,A#7,D#7,Edim7,A#7,Bdim7,Cmin7,F7,A#7,Bdim7,Cmin7,F7,,,,,,,,,,,,,,,,,,
x-x-8-10-9-10,x-x-8-8-8-9,x-x-8-10-9-10,x-x-8-10-9-10,x-x-8-8-8-9,x-x-8-9-8-9,x-x-8-10-9-10,x-x-9-10-9-10,x-x-10-12-11-11,x-x-10-10-10-11,x-x-8-10-9-10,x-x-9-10-9-10,x-x-10-12-11-11,x-x-10-10-10-11,,,,,,,,,,,,,,,,,,
Bflat Blues 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A#7,D#7,A#7,A#7,D#7,Edim7,A#7,Bdim7,Cmin7,F7,A#7,Bdim7,Cmin7,F7,,,,,,,,,,,,,,,,,,
x-8-8-7-9-x,x-6-8-6-8-x,x-8-8-7-9-x,x-8-8-7-9-x,x-6-8-6-8-x,x-7-8-6-8-x,x-8-8-7-9-x,x-8-9-7-9-x,x-10-10-8-11-x,x-8-10-8-10-x,x-8-8-7-9-x,x-8-9-7-9-x,x-10-10-8-11-x,x-8-10-8-10-x,,,,,,,,,,,,,,,,,,
It could happen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D#maj7,D#maj7,Gmin7f5,C7,Fmin7,Fmin7,Amin7f5,D7,D#maj7,D#maj7,G#maj7,G#maj7,Gmin7f5,Gmin7f5,C7,C7,Fmin7,Fmin7,G#min7,C#7,D#maj7,D#maj7,Dmin7f5,G7,Cmin7,Cmin7,F7,F7,F#min7,B7,Fmin7,A#7
x-6-8-7-8-x,x-5-5-3-4-x,x-4-5-3-6-x,x-3-5-3-5-x,x-6-6-5-6-x,x-8-10-8-9-x,x-6-7-5-8-x,x-5-7-5-7-x,x-6-8-7-8-x,x-x-5-7-4-6,x-x-6-8-8-8,x-x-5-5-4-4,x-x-3-3-2-3,x-4-5-3-6-x,x-3-5-3-5-x,x-x-2-3-1-3,x-6-6-5-6-x,x-8-10-8-9-x,x-9-9-8-9-x,x-8-9-6-9-x,x-6-8-7-8-x,x-x-5-7-4-6,x-x-3-5-3-4,x-x-5-7-6-7,x-x-8-8-8-8,x-x-5-5-4-6,x-x-3-5-4-5,x-x-1-2-1-1,x-x-2-2-2-2,x-x-4-4-4-5,x-x-3-5-4-4,x-x-6-7-6-6
It could happen 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D#maj7,D#maj7,Gmin7f5,C7,Fmin7,Fmin7,Amin7f5,D7,D#maj7,D#maj7,G#maj7,G#maj7,Gmin7f5,Gmin7f5,C7,C7,Fmin7,Fmin7,G#min7,C#7,D#maj7,G#maj7,Gmin7f5,C7,Fmin7,Fmin7,A#7,A#7,D#maj7,D#maj7,Fmin7,A#7
x-x-8-8-8-10,x-x-5-7-4-6,x-x-8-10-8-9,x-x-8-9-8-8,x-x-10-10-9-11,x-x-6-8-6-8,x-x-10-12-10-11,x-x-10-11-10-10,x-x-8-8-8-10,x-x-5-7-4-6,x-x-6-8-8-8,x-x-5-5-4-4,x-x-3-3-2-3,x-x-5-6-6-6,x-x-5-5-5-6,x-x-8-9-8-8,x-x-6-8-6-8,x-x-3-5-4-4,x-x-6-8-7-7,x-8-9-6-9-x,x-x-5-7-4-6,x-x-6-8-8-8,x-x-5-6-6-6,x-x-8-9-8-8,x-x-6-8-6-8,x-x-10-10-9-11,x-x-8-10-9-10,x-x-12-13-11-13,x-x-12-12-11-11,x-10-12-8-11-x,x-8-10-8-9-x,x-8-8-7-9-x
