Bflat Blues_slice,,
A#7,D#7,A#7
x-x-6-7-6-6,x-x-5-6-4-6,x-x-6-7-6-6
Bflat Blues_slice,,
D#7,A#7,A#7
x-x-5-6-4-6,x-x-6-7-6-6,x-x-6-7-6-6
Bflat Blues_slice,,
A#7,A#7,D#7
x-x-6-7-6-6,x-x-6-7-6-6,x-x-5-6-4-6
Bflat Blues_slice,,
A#7,D#7,Edim7
x-x-6-7-6-6,x-x-5-6-4-6,x-x-5-6-5-6
Bflat Blues_slice,,
D#7,Edim7,A#7
x-x-5-6-4-6,x-x-5-6-5-6,x-x-6-7-6-6
Bflat Blues_slice,,
Edim7,A#7,Bdim7
x-x-5-6-5-6,x-x-6-7-6-6,x-x-6-7-6-7
Bflat Blues_slice,,
A#7,Bdim7,Cmin7
x-x-6-7-6-6,x-x-6-7-6-7,x-x-8-8-8-8
Bflat Blues_slice,,
Bdim7,Cmin7,F7
x-x-6-7-6-7,x-x-8-8-8-8,x-x-7-8-6-8
Bflat Blues_slice,,
Cmin7,F7,A#7
x-x-8-8-8-8,x-x-7-8-6-8,x-x-6-7-6-6
Bflat Blues_slice,,
F7,A#7,Bdim7
x-x-7-8-6-8,x-x-6-7-6-6,x-x-6-7-6-7
Bflat Blues_slice,,
A#7,Bdim7,Cmin7
x-x-6-7-6-6,x-x-6-7-6-7,x-x-8-8-8-8
Bflat Blues_slice,,
Bdim7,Cmin7,F7
x-x-6-7-6-7,x-x-8-8-8-8,x-x-7-8-6-8
Bflat Blues_copy_slice,,
G7,C7,G7
x-x-3-4-3-3,x-x-2-3-1-3,x-x-3-4-3-3
Bflat Blues_copy_slice,,
C7,G7,G7
x-x-2-3-1-3,x-x-3-4-3-3,x-x-3-4-3-3
Bflat Blues_copy_slice,,
G7,G7,C7
x-x-3-4-3-3,x-x-3-4-3-3,x-x-2-3-1-3
Bflat Blues_copy_slice,,
G7,C7,C#dim7
x-x-3-4-3-3,x-x-2-3-1-3,x-x-2-3-2-3
Bflat Blues_copy_slice,,
C7,C#dim7,G7
x-x-2-3-1-3,x-x-2-3-2-3,x-x-3-4-3-3
Bflat Blues_copy_slice,,
C#dim7,G7,G#dim7
x-x-2-3-2-3,x-x-3-4-3-3,x-x-3-4-3-4
Bflat Blues_copy_slice,,
G7,G#dim7,Amin7
x-x-3-4-3-3,x-x-3-4-3-4,x-x-5-5-5-5
Bflat Blues_copy_slice,,
G#dim7,Amin7,D7
x-x-3-4-3-4,x-x-5-5-5-5,x-x-4-5-3-5
Bflat Blues_copy_slice,,
Amin7,D7,G7
x-x-5-5-5-5,x-x-4-5-3-5,x-x-3-4-3-3
Bflat Blues_copy_slice,,
D7,G7,G#dim7
x-x-4-5-3-5,x-x-3-4-3-3,x-x-3-4-3-4
Bflat Blues_copy_slice,,
G7,G#dim7,Amin7
x-x-3-4-3-3,x-x-3-4-3-4,x-x-5-5-5-5
Bflat Blues_copy_slice,,
G#dim7,Amin7,D7
x-x-3-4-3-4,x-x-5-5-5-5,x-x-4-5-3-5
Bflat Blues_copy_slice,,
G#7,C#7,G#7
x-x-4-5-4-4,x-x-3-4-2-4,x-x-4-5-4-4
Bflat Blues_copy_slice,,
C#7,G#7,G#7
x-x-3-4-2-4,x-x-4-5-4-4,x-x-4-5-4-4
Bflat Blues_copy_slice,,
G#7,G#7,C#7
x-x-4-5-4-4,x-x-4-5-4-4,x-x-3-4-2-4
Bflat Blues_copy_slice,,
G#7,C#7,Ddim7
x-x-4-5-4-4,x-x-3-4-2-4,x-x-3-4-3-4
Bflat Blues_copy_slice,,
C#7,Ddim7,G#7
x-x-3-4-2-4,x-x-3-4-3-4,x-x-4-5-4-4
Bflat Blues_copy_slice,,
Ddim7,G#7,Adim7
x-x-3-4-3-4,x-x-4-5-4-4,x-x-4-5-4-5
Bflat Blues_copy_slice,,
G#7,Adim7,A#min7
x-x-4-5-4-4,x-x-4-5-4-5,x-x-6-6-6-6
Bflat Blues_copy_slice,,
Adim7,A#min7,D#7
x-x-4-5-4-5,x-x-6-6-6-6,x-x-5-6-4-6
Bflat Blues_copy_slice,,
A#min7,D#7,G#7
x-x-6-6-6-6,x-x-5-6-4-6,x-x-4-5-4-4
Bflat Blues_copy_slice,,
D#7,G#7,Adim7
x-x-5-6-4-6,x-x-4-5-4-4,x-x-4-5-4-5
Bflat Blues_copy_slice,,
G#7,Adim7,A#min7
x-x-4-5-4-4,x-x-4-5-4-5,x-x-6-6-6-6
Bflat Blues_copy_slice,,
Adim7,A#min7,D#7
x-x-4-5-4-5,x-x-6-6-6-6,x-x-5-6-4-6
Bflat Blues_copy_slice,,
A7,D7,A7
x-x-5-6-5-5,x-x-4-5-3-5,x-x-5-6-5-5
Bflat Blues_copy_slice,,
D7,A7,A7
x-x-4-5-3-5,x-x-5-6-5-5,x-x-5-6-5-5
Bflat Blues_copy_slice,,
A7,A7,D7
x-x-5-6-5-5,x-x-5-6-5-5,x-x-4-5-3-5
Bflat Blues_copy_slice,,
A7,D7,D#dim7
x-x-5-6-5-5,x-x-4-5-3-5,x-x-4-5-4-5
Bflat Blues_copy_slice,,
D7,D#dim7,A7
x-x-4-5-3-5,x-x-4-5-4-5,x-x-5-6-5-5
Bflat Blues_copy_slice,,
D#dim7,A7,A#dim7
x-x-4-5-4-5,x-x-5-6-5-5,x-x-5-6-5-6
Bflat Blues_copy_slice,,
A7,A#dim7,Bmin7
x-x-5-6-5-5,x-x-5-6-5-6,x-x-7-7-7-7
Bflat Blues_copy_slice,,
A#dim7,Bmin7,E7
x-x-5-6-5-6,x-x-7-7-7-7,x-x-6-7-5-7
Bflat Blues_copy_slice,,
Bmin7,E7,A7
x-x-7-7-7-7,x-x-6-7-5-7,x-x-5-6-5-5
Bflat Blues_copy_slice,,
E7,A7,A#dim7
x-x-6-7-5-7,x-x-5-6-5-5,x-x-5-6-5-6
Bflat Blues_copy_slice,,
A7,A#dim7,Bmin7
x-x-5-6-5-5,x-x-5-6-5-6,x-x-7-7-7-7
Bflat Blues_copy_slice,,
A#dim7,Bmin7,E7
x-x-5-6-5-6,x-x-7-7-7-7,x-x-6-7-5-7
Bflat Blues_copy_slice,,
A#7,D#7,A#7
x-x-6-7-6-6,x-x-5-6-4-6,x-x-6-7-6-6
Bflat Blues_copy_slice,,
D#7,A#7,A#7
x-x-5-6-4-6,x-x-6-7-6-6,x-x-6-7-6-6
Bflat Blues_copy_slice,,
A#7,A#7,D#7
x-x-6-7-6-6,x-x-6-7-6-6,x-x-5-6-4-6
Bflat Blues_copy_slice,,
A#7,D#7,Edim7
x-x-6-7-6-6,x-x-5-6-4-6,x-x-5-6-5-6
Bflat Blues_copy_slice,,
D#7,Edim7,A#7
x-x-5-6-4-6,x-x-5-6-5-6,x-x-6-7-6-6
Bflat Blues_copy_slice,,
Edim7,A#7,Bdim7
x-x-5-6-5-6,x-x-6-7-6-6,x-x-6-7-6-7
Bflat Blues_copy_slice,,
A#7,Bdim7,Cmin7
x-x-6-7-6-6,x-x-6-7-6-7,x-x-8-8-8-8
Bflat Blues_copy_slice,,
Bdim7,Cmin7,F7
x-x-6-7-6-7,x-x-8-8-8-8,x-x-7-8-6-8
Bflat Blues_copy_slice,,
Cmin7,F7,A#7
x-x-8-8-8-8,x-x-7-8-6-8,x-x-6-7-6-6
Bflat Blues_copy_slice,,
F7,A#7,Bdim7
x-x-7-8-6-8,x-x-6-7-6-6,x-x-6-7-6-7
Bflat Blues_copy_slice,,
A#7,Bdim7,Cmin7
x-x-6-7-6-6,x-x-6-7-6-7,x-x-8-8-8-8
Bflat Blues_copy_slice,,
Bdim7,Cmin7,F7
x-x-6-7-6-7,x-x-8-8-8-8,x-x-7-8-6-8
Bflat Blues_copy_slice,,
B7,E7,B7
x-x-7-8-7-7,x-x-6-7-5-7,x-x-7-8-7-7
Bflat Blues_copy_slice,,
