Bflat Blues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A#7,D#7,A#7,A#7,D#7,Edim7,A#7,Bdim7,Cmin7,F7,A#7,Bdim7,Cmin7,F7,,,,,,,,,,,,,,,,,,
x-x-6-7-6-6,x-x-5-6-4-6,x-x-6-7-6-6,x-x-6-7-6-6,x-x-5-6-4-6,x-x-5-6-5-6,x-x-6-7-6-6,x-x-6-7-6-7,x-x-8-8-8-8,x-x-7-8-6-8,x-x-6-7-6-6,x-x-6-7-6-7,x-x-8-8-8-8,x-x-7-8-6-8,,,,,,,,,,,,,,,,,,
Bflat Blues_copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G7,C7,G7,G7,C7,C#dim7,G7,G#dim7,Amin7,D7,G7,G#dim7,Amin7,D7,,,,,,,,,,,,,,,,,,
x-x-3-4-3-3,x-x-2-3-1-3,x-x-3-4-3-3,x-x-3-4-3-3,x-x-2-3-1-3,x-x-2-3-2-3,x-x-3-4-3-3,x-x-3-4-3-4,x-x-5-5-5-5,x-x-4-5-3-5,x-x-3-4-3-3,x-x-3-4-3-4,x-x-5-5-5-5,x-x-4-5-3-5,,,,,,,,,,,,,,,,,,
Bflat Blues_copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G#7,C#7,G#7,G#7,C#7,Ddim7,G#7,Adim7,A#min7,D#7,G#7,Adim7,A#min7,D#7,,,,,,,,,,,,,,,,,,
x-x-4-5-4-4,x-x-3-4-2-4,x-x-4-5-4-4,x-x-4-5-4-4,x-x-3-4-2-4,x-x-3-4-3-4,x-x-4-5-4-4,x-x-4-5-4-5,x-x-6-6-6-6,x-x-5-6-4-6,x-x-4-5-4-4,x-x-4-5-4-5,x-x-6-6-6-6,x-x-5-6-4-6,,,,,,,,,,,,,,,,,,
Bflat Blues_copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A7,D7,A7,A7,D7,D#dim7,A7,A#dim7,Bmin7,E7,A7,A#dim7,Bmin7,E7,,,,,,,,,,,,,,,,,,
x-x-5-6-5-5,x-x-4-5-3-5,x-x-5-6-5-5,x-x-5-6-5-5,x-x-4-5-3-5,x-x-4-5-4-5,x-x-5-6-5-5,x-x-5-6-5-6,x-x-7-7-7-7,x-x-6-7-5-7,x-x-5-6-5-5,x-x-5-6-5-6,x-x-7-7-7-7,x-x-6-7-5-7,,,,,,,,,,,,,,,,,,
Bflat Blues_copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A#7,D#7,A#7,A#7,D#7,Edim7,A#7,Bdim7,Cmin7,F7,A#7,Bdim7,Cmin7,F7,,,,,,,,,,,,,,,,,,
x-x-6-7-6-6,x-x-5-6-4-6,x-x-6-7-6-6,x-x-6-7-6-6,x-x-5-6-4-6,x-x-5-6-5-6,x-x-6-7-6-6,x-x-6-7-6-7,x-x-8-8-8-8,x-x-7-8-6-8,x-x-6-7-6-6,x-x-6-7-6-7,x-x-8-8-8-8,x-x-7-8-6-8,,,,,,,,,,,,,,,,,,
Bflat Blues_copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B7,E7,B7,B7,E7,Fdim7,B7,Cdim7,C#min7,F#7,B7,Cdim7,C#min7,F#7,,,,,,,,,,,,,,,,,,
x-x-7-8-7-7,x-x-6-7-5-7,x-x-7-8-7-7,x-x-7-8-7-7,x-x-6-7-5-7,x-x-6-7-6-7,x-x-7-8-7-7,x-x-7-8-7-8,x-x-9-9-9-9,x-x-8-9-7-9,x-x-7-8-7-7,x-x-7-8-7-8,x-x-9-9-9-9,x-x-8-9-7-9,,,,,,,,,,,,,,,,,,
Bflat Blues_copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C7,F7,C7,C7,F7,F#dim7,C7,C#dim7,Dmin7,G7,C7,C#dim7,Dmin7,G7,,,,,,,,,,,,,,,,,,
x-x-8-9-8-8,x-x-7-8-6-8,x-x-8-9-8-8,x-x-8-9-8-8,x-x-7-8-6-8,x-x-7-8-7-8,x-x-8-9-8-8,x-x-8-9-8-9,x-x-10-10-10-10,x-x-9-10-8-10,x-x-8-9-8-8,x-x-8-9-8-9,x-x-10-10-10-10,x-x-9-10-8-10,,,,,,,,,,,,,,,,,,
Bflat Blues_copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#7,F#7,C#7,C#7,F#7,Gdim7,C#7,Ddim7,D#min7,G#7,C#7,Ddim7,D#min7,G#7,,,,,,,,,,,,,,,,,,
x-x-9-10-9-9,x-x-8-9-7-9,x-x-9-10-9-9,x-x-9-10-9-9,x-x-8-9-7-9,x-x-8-9-8-9,x-x-9-10-9-9,x-x-9-10-9-10,x-x-11-11-11-11,x-x-10-11-9-11,x-x-9-10-9-9,x-x-9-10-9-10,x-x-11-11-11-11,x-x-10-11-9-11,,,,,,,,,,,,,,,,,,
Bflat Blues_copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D7,G7,D7,D7,G7,G#dim7,D7,D#dim7,Emin7,A7,D7,D#dim7,Emin7,A7,,,,,,,,,,,,,,,,,,
x-x-10-11-10-10,x-x-9-10-8-10,x-x-10-11-10-10,x-x-10-11-10-10,x-x-9-10-8-10,x-x-9-10-9-10,x-x-10-11-10-10,x-x-10-11-10-11,x-x-12-12-12-12,x-x-11-12-10-12,x-x-10-11-10-10,x-x-10-11-10-11,x-x-12-12-12-12,x-x-11-12-10-12,,,,,,,,,,,,,,,,,,
Bflat Blues_copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D#7,G#7,D#7,D#7,G#7,Adim7,D#7,Edim7,Fmin7,A#7,D#7,Edim7,Fmin7,A#7,,,,,,,,,,,,,,,,,,
x-x-11-12-11-11,x-x-10-11-9-11,x-x-11-12-11-11,x-x-11-12-11-11,x-x-10-11-9-11,x-x-10-11-10-11,x-x-11-12-11-11,x-x-11-12-11-12,x-x-13-13-13-13,x-x-12-13-11-13,x-x-11-12-11-11,x-x-11-12-11-12,x-x-13-13-13-13,x-x-12-13-11-13,,,,,,,,,,,,,,,,,,
Bflat Blues_copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E7,A7,E7,E7,A7,A#dim7,E7,Fdim7,F#min7,B7,E7,Fdim7,F#min7,B7,,,,,,,,,,,,,,,,,,
x-x-12-13-12-12,x-x-11-12-10-12,x-x-12-13-12-12,x-x-12-13-12-12,x-x-11-12-10-12,x-x-11-12-11-12,x-x-12-13-12-12,x-x-12-13-12-13,x-x-14-14-14-14,x-x-13-14-12-14,x-x-12-13-12-12,x-x-12-13-12-13,x-x-14-14-14-14,x-x-13-14-12-14,,,,,,,,,,,,,,,,,,
Bflat Blues_copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F7,A#7,F7,F7,A#7,Bdim7,F7,F#dim7,Gmin7,C7,F7,F#dim7,Gmin7,C7,,,,,,,,,,,,,,,,,,
x-x-13-14-13-13,x-x-12-13-11-13,x-x-13-14-13-13,x-x-13-14-13-13,x-x-12-13-11-13,x-x-12-13-12-13,x-x-13-14-13-13,x-x-13-14-13-14,x-x-15-15-15-15,x-x-14-15-13-15,x-x-13-14-13-13,x-x-13-14-13-14,x-x-15-15-15-15,x-x-14-15-13-15,,,,,,,,,,,,,,,,,,
Bflat Blues_copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F#7,B7,F#7,F#7,B7,Cdim7,F#7,Gdim7,G#min7,C#7,F#7,Gdim7,G#min7,C#7,,,,,,,,,,,,,,,,,,
x-x-14-15-14-14,x-x-13-14-12-14,x-x-14-15-14-14,x-x-14-15-14-14,x-x-13-14-12-14,x-x-13-14-13-14,x-x-14-15-14-14,x-x-14-15-14-15,x-x-16-16-16-16,x-x-15-16-14-16,x-x-14-15-14-14,x-x-14-15-14-15,x-x-16-16-16-16,x-x-15-16-14-16,,,,,,,,,,,,,,,,,,
